Feature,Mean Importance,Standard Deviation
waiting_days,0.05760238002909996,0.0170068422199401
previous_appointments,0.03470270883355069,0.015347109240767456
appointment_month,0.012062618579836152,0.014147639342676082
appointment_dayofweek,0.01150401421027371,0.016065344164862893
age,0.006679939923311514,0.014626393111259432
department_General Medicine,0.006582563828693185,0.004156750541126385
diagnosis_Kidney Infection,0.006263824534327992,0.004847475184566462
department_Orthopedics,0.005884451918133789,0.007597030929776031
previous_admissions,0.00468400112349926,0.009666856071535909
department_Radiology,0.0040308802996141145,0.007885471967953877
diagnosis_Migraine,0.003237718762096309,0.006668320428219286
diagnosis_Back Pain,0.002824694932518538,0.008144818588442194
diagnosis_Chest Pain,0.0021891666695346775,0.005375547028086591
department_Neurology,0.0005061098722862164,0.0037615915851916593
diagnosis_Pneumonia,0.00013411065025839737,0.006228839293456722
missed_previous_appointments,-0.0008058702743152494,0.011341987477039047
diagnosis_Fracture,-0.0012450196873416456,0.003627813190118546
diagnosis_Hypertension,-0.0013956500056816405,0.004808689201236013
department_Pediatrics,-0.0015022056964953585,0.004911684615777305
diagnosis_Fever,-0.006353307601775993,0.0037607355441012136
diagnosis_Diabetes,-0.008288344347034564,0.004431183205344688
department_Laboratory Services,-0.008708013026752311,0.00542944210235942
has_missed_before,-0.013571550233641561,0.007867766359189603
missed_ratio,-0.014833588297020195,0.01279404855108328
